linkID,link
9,1
135,1
434,0
262,0
383,1
212,0
357,1
233,1
189,0
441,0
333,0
134,1
491,1
321,1
132,0
2,1
228,0
260,0
85,1
204,1
426,0
377,1
277,0
101,0
12,1
38,1
395,1
18,1
147,1
133,0
392,0
304,1
479,1
486,1
241,1
177,1
53,1
466,1
419,1
452,1
280,1
124,0
140,1
423,1
443,0
478,0
295,0
22,0
176,1
360,0
162,0
46,1
14,1
119,1
144,1
325,1
408,0
152,1
365,0
146,1
116,1
42,1
29,0
410,0
165,1
172,1
442,0
138,0
154,0
307,0
74,1
68,0
273,1
285,1
359,1
37,0
41,1
103,0
156,1
229,0
438,1
7,1
77,0
211,1
453,1
79,0
283,0
91,0
186,0
117,1
125,0
16,1
279,1
373,1
13,1
267,0
447,1
196,0
15,0
431,1
465,0
255,1
323,0
11,0
81,0
231,1
332,1
3,0
45,0
429,0
409,0
203,1
185,1
20,0
371,1
396,1
153,1
483,0
206,1
316,1
448,1
398,0
92,1
463,1
390,1
86,1
352,0
310,1
122,1
248,0
271,1
87,1
219,1
314,0
417,0
163,0
150,0
420,1
23,0
151,0
265,0
293,0
350,0
269,1
252,1
291,0
412,0
149,1
474,0
96,1
312,0
105,0
180,0
308,1
26,0
136,0
311,0
64,1
128,1
329,1
88,1
35,1
388,0
430,0
195,0
379,0
181,0
223,1
490,1
155,0
422,1
303,1
462,1
391,1
82,1
58,1
468,1
183,1
492,1
389,1
374,0
306,1
148,1
208,0
461,0
427,1
89,1
247,0
224,0
84,1
95,0
319,0
59,0
236,1
102,1
432,1
120,1
480,1
201,1
344,1
482,1
28,1
351,1
34,0
455,1
126,1
226,1
51,0
338,1
454,1
75,0
234,1
399,1
289,1
418,0
230,0
191,1
335,1
94,0
475,1
284,1
459,1
161,1
451,1
263,1
298,1
232,1
494,0
320,0
40,1
421,0
499,0
317,0
405,1
69,1
370,0
218,0
382,0
425,0
449,1
477,1
437,1
386,0
129,1
270,1
198,0
313,1
73,1
30,1
376,1
4,1
309,1
114,0
481,0
47,1
297,1
300,0
238,1
52,0
433,0
341,0
361,0
168,1
355,0
60,1
353,1
220,0
17,0
488,1
90,0
57,1
98,1
62,1
239,1
39,0
166,1
275,0
118,0
384,1
249,1
182,0
178,0
97,1
143,0
170,0
242,0
473,0
190,0
50,0
413,0
331,1
278,0
227,1
131,1
393,1
258,0
436,1
489,1
158,0
127,1
290,1
173,0
24,1
305,1
25,1
343,0
334,0
6,1
378,0
487,1
259,1
460,0
327,0
243,1
336,1
387,1
363,0
253,0
121,1
1,0
467,0
202,1
145,0
397,1
251,0
188,1
70,1
324,1
315,1
250,0
194,0
66,1
67,1
496,1
266,1
264,1
282,1
0,0
472,1
216,1
139,1
476,0
493,1
354,1
444,1
362,1
65,1
174,0
215,1
411,0
356,0
222,1
193,1
141,1
123,0
458,1
221,1
292,1
33,0
440,1
406,0
27,0
268,0
369,1
164,1
10,0
19,0
294,0
159,0
450,0
403,0
179,0
281,1
339,0
400,0
167,0
209,0
244,1
157,1
137,0
254,0
404,0
175,1
366,1
367,1
484,0
439,0
61,1
318,0
83,0
36,0
415,0
93,1
347,0
192,1
256,0
108,0
349,0
112,0
240,0
76,1
54,1
301,1
106,1
328,1
245,1
142,1
495,1
31,1
497,1
184,1
445,0
485,0
200,1
380,1
214,0
296,0
498,0
210,1
235,1
302,1
63,1
274,0
424,1
385,1
107,1
113,0
407,0
276,1
381,0
435,0
109,0
416,0
287,1
130,0
330,0
326,1
364,1
322,1
21,0
100,0
375,0
457,0
414,0
213,1
43,0
32,0
456,0
197,1
115,1
207,0
80,0
446,1
286,0
48,1
237,0
358,0
257,1
340,0
199,1
217,0
464,1
469,1
205,1
5,0
78,0
394,0
72,1
470,0
401,1
169,0
428,0
345,1
342,1
372,1
56,1
55,1
104,0
110,1
49,1
471,1
171,1
337,0
346,0
402,0
246,1
111,1
160,1
71,0
99,0
44,0
272,1
8,0
299,0
261,0
225,1
288,1
348,0
187,0
368,1
